"","log(alpha)","log(a)","sigma2_alpha","sigma2_c","sigma2_a","sigma2_b","phi","phis"
"110",0.759324825869347,0.789969626639716,0.845984808415145,0.699310582745006,2.78706202588935,2.25586406441663,2.13989695742572,0.893408676685253
"111",0.759324825869347,0.712222158198241,0.72135889163686,0.619574214612752,0.752896575176724,1.72426480230309,2.13989695742572,0.705206353318282
"112",0.759324825869347,0.619963745370018,1.04049014801929,0.507755655974168,0.587162113915007,2.79704111878025,2.13989695742572,0.971974002460344
"113",0.759324825869347,0.619963745370018,0.867744829873783,0.486795222428395,0.221738567109871,2.06606470474962,1.84558143022819,1.04169186707938
"114",0.756754321653197,0.619963745370018,0.706954113040374,0.891800024614946,0.61896530044232,2.2608925607658,2.51243629036456,1.17863442642603
"115",0.756754321653197,0.619963745370018,0.446310246631464,0.470586567125451,0.811705084283628,3.69149459731112,2.51243629036456,0.921360152246143
"116",0.756754321653197,0.564879512380844,0.482746364828731,0.384675088165096,16.0644573033888,1.83806384232676,5.88940679911922,0.74175034661716
"117",0.756754321653197,0.564879512380844,1.25544432485014,0.398469288463759,0.381155535833631,3.14743715420325,6.66060447930468,1.04728123105258
"118",0.756754321653197,0.582168626667867,2.16365750445117,0.474443903346432,0.552063986875886,2.76246286947546,5.17653236470646,0.896442325244587
"119",0.756754321653197,0.582168626667867,2.36849554229109,0.857356831846393,4.79532554781815,2.89315668519932,8.07649370624947,0.626761674159976
"120",0.756754321653197,0.582168626667867,1.15835100681382,0.529547712255313,0.751822799802614,2.70213576262773,8.07649370624947,0.886703132223922
"121",0.698897905842985,0.582168626667867,8.27552116375048,0.406323046973862,0.136660212859038,1.67391573232606,8.36047154957382,1.16641988076724
"122",0.698897905842985,0.686363126809855,2.24052209961495,0.675327260271297,2.7387636626114,1.48475088839186,9.31834646498381,1.25267344983048
"123",0.698897905842985,0.491815239521799,0.390495477082543,0.757826446496217,1.1692837443339,2.33130365716613,9.31834646498381,1.25267344983048
"124",0.698897905842985,0.491815239521799,2.11130582051073,0.74167967005334,1.12581040840924,2.32005706226287,9.31834646498381,1.58752460422144
"125",0.698897905842985,0.491815239521799,0.443422402993466,0.55345579160774,0.491684214899341,2.99305924787115,8.91176511468482,1.65572977384239
"126",0.698897905842985,0.491815239521799,2.64495141326743,0.474769824621172,0.804704612175636,1.8944002504676,8.91176511468482,1.55886854320099
"127",0.672560740785126,0.602899885989375,1.30414639290173,0.487333666331891,0.80254829539582,2.65359301715982,7.95671960615165,1.20095267635183
"128",0.672560740785126,0.664092134358187,0.821053975382543,0.520021856585643,0.842723945637936,2.57496149002818,8.7908320998785,0.998511235592111
"129",0.672560740785126,0.664092134358187,2.9886604652466,0.662958110060758,0.568213895508743,2.25476844391895,8.7908320998785,1.17459170702219
"130",0.672560740785126,0.664092134358187,1.60961821083207,0.582143531455572,1.54540399029404,3.37022944336836,8.90967791435797,1.17459170702219
"131",0.672560740785126,0.664092134358187,2.95970007147332,0.429344558163126,1.242935416031,1.81856682962111,10.5063358290156,1.27845295318618
"132",0.672560740785126,0.664092134358187,0.375509839715153,0.552375375246024,1.70114468143373,2.03110378765552,10.5063358290156,1.128246836224
"133",0.737176584165187,0.664092134358187,1.68917732151635,0.522497406344813,0.675639392686663,3.10853125512624,10.1390335125557,1.47153815723323
"134",0.737176584165187,0.492651781443461,4.00470373188893,0.452617102769616,0.522680441094304,2.4792498682192,11.0962080240959,1.46952545265469
"135",0.737176584165187,0.492651781443461,16.3405557079911,0.376835292049196,0.516732389651067,2.14589987087874,12.4633565757526,1.38431485724148
"136",0.737176584165187,0.49648209306863,0.233308559301417,0.513038297927366,0.946664777199492,1.59207836214907,12.368933050789,1.10740407921564
"137",0.737176584165187,0.49648209306863,5.73390598185959,0.412505622984845,0.588310239984439,3.66038201074487,12.368933050789,1.26295358571295
"138",0.737176584165187,0.501022721594917,0.562495018861111,0.327230186225513,1.64424842632966,2.55250065376759,12.6208766016349,1.28210974401638
"139",0.737176584165187,0.501022721594917,33.9795692078487,0.334976737350203,4.81932986493903,3.92522187577962,12.9797209901381,0.886621070172258
"140",0.737176584165187,0.589436638799603,0.628135166351505,0.627318297008115,0.89203831463738,2.06787035466608,12.2630281601695,0.683686423880112
"141",0.737176584165187,0.589436638799603,0.688084851977954,0.533322882138698,3.11993519137474,3.22641245428851,15.1543200720341,0.731297752548816
"142",0.737176584165187,0.591273213719519,0.465589246193012,0.794716280859998,4.45920915907428,3.12222897974336,14.9739066328479,0.446843866768422
"143",0.737176584165187,0.604842371324164,1.21256073405464,0.829539822659894,0.912333686917779,3.74591695062775,14.9739066328479,0.411120141853094
"144",0.737176584165187,0.604842371324164,1.07830830597326,0.452125299857433,2.96896817357598,2.21639030635366,14.9739066328479,0.0192824056891728
"145",0.737176584165187,0.604842371324164,0.549113844123117,0.549404444329313,0.255990358350891,3.06932737210554,14.112482460841,0.0666324972161421
"146",0.737176584165187,0.604842371324164,0.615274055065438,0.698404228032305,0.224468489530079,2.29821780257866,14.6607036213321,0.0666324972161421
"147",0.737176584165187,0.446048500645479,3.61243117048167,0.494027854916796,1.68248401971272,2.34466178379148,14.9009406849189,0.376950043704284
"148",0.737176584165187,0.446048500645479,1.17626807435852,0.666654311506122,1.72699769350247,2.28971322836504,15.0968445238575,0.470418128035642
"149",0.737176584165187,0.554532456286292,0.376535700884263,0.519239169390055,0.609723723959599,2.445805316476,11.7941213678565,0.434875470109407
"150",0.737176584165187,0.554532456286292,0.833112980898713,0.412735185179311,3.586241064997,2.27131407814698,11.3387328573404,0.719878570129963
"151",0.737176584165187,0.554532456286292,0.363377160077253,0.392696820921664,0.45323430311693,3.30295918224998,9.97472838717377,0.960658813469206
"152",0.737176584165187,0.598278154533427,0.677550803297774,0.814053597773311,0.544080793839322,3.29677052497823,9.97472838717377,1.01941500505215
"153",0.737176584165187,0.598278154533427,0.683071844927531,0.519643375515277,2.9592443523086,2.76831181901846,9.97472838717377,0.474903470847934
"154",0.737176584165187,0.540220215957595,1.99453611196375,0.566256319255797,0.461906308237481,1.8211119085155,7.28530419440107,0.557126403247213
"155",0.737176584165187,0.540220215957595,0.513306487801772,0.501196181935687,1.79096170573499,3.24474262454075,5.82290790345386,0.901292410042978
"156",0.737176584165187,0.540220215957595,0.978614562238095,0.498933172483335,0.590070181114813,2.38133518001497,6.73627639573003,0.927041189152392
"157",0.737176584165187,0.591381011917375,1.51026784977263,0.701196414980634,3.59697582974746,3.13002459760873,5.57901747886692,1.06006435212475
"158",0.737176584165187,0.591381011917375,1.36863732560761,0.476295953601306,0.181849507548104,3.19997192224126,5.44029868931622,0.592923848084355
"159",0.737176584165187,0.46911237242647,1.19973237623105,0.359478699779133,0.480205287833375,2.0845954522891,5.44029868931622,0.824791025965152
"160",0.737176584165187,0.46911237242647,0.362079142766246,0.291386311110848,6.69678846786014,1.41347239052716,5.68005326722284,1.16755330413678
"161",0.737176584165187,0.46911237242647,4.64360805864038,0.577156177600095,0.623598218088969,3.32752012587691,5.68005326722284,1.14992703900388
"162",0.737176584165187,0.46911237242647,2.69264280431226,0.489642778824765,1.17271755648411,3.29828271879324,5.68005326722284,0.826784712539332
"163",0.707472696592773,0.63888194380083,0.55518602010843,0.427943493620172,1.32492784525684,2.51752709121003,6.12339250627457,0.542748771612882
"164",0.707472696592773,0.668041477603083,3.05183396491852,0.677151829099096,0.660552065213452,1.91677144247926,6.88898482066377,0.826611285947886
"165",0.707472696592773,0.668041477603083,0.359013444114428,0.313742511597897,0.976896471195793,2.27689856441629,6.88898482066377,0.8004548644146
"166",0.707472696592773,0.598580917337523,0.547603485244121,0.564900401963804,10.9373494741036,2.54085414370572,5.46230602770054,1.28079728600491
